artistName,completionYear,detailsUrl,imageUrl,title
Gustave Courbet,1854,http://www.wikiart.org/en/gustave-courbet/the-meeting-bonjour-monsieur-courbet-1854,https://uploads1.wikiart.org/images/gustave-courbet/the-meeting-bonjour-monsieur-courbet-1854.jpg,The Meeting (Bonjour Monsieur Courbet)
William Holman Hunt,-1,http://www.wikiart.org/de/william-holman-hunt/fishingboats-by-moonlight,https://uploads7.wikiart.org/images/william-holman-hunt/fishingboats-by-moonlight.jpg,Fishingboats by Moonlight
Jan Toorop,1891,http://www.wikiart.org/de/jan-toorop/the-vagabonds-1891,https://uploads0.wikiart.org/images/jan-toorop/the-vagabonds-1891.jpg,The Vagabonds
Pieter de Hooch,1659,http://www.wikiart.org/en/pieter-de-hooch/the-bedroom,https://uploads7.wikiart.org/images/pieter-de-hooch/the-bedroom.jpg,The Bedroom
Ivan Milev,1926,http://www.wikiart.org/de/ivan-milev/king-marko-1926-1,https://uploads8.wikiart.org/images/ivan-milev/king-marko-1926-1.jpg,King Marko
Georges Lacombe ,-1,http://www.wikiart.org/de/georges-lacombe/blue-seascape-wave-effect,https://uploads3.wikiart.org/images/georges-lacombe/blue-seascape-wave-effect.jpg,"Blue Seascape, Wave Effect"
Jan Toorop,1892,http://www.wikiart.org/de/jan-toorop/the-new-generation-1892,https://uploads5.wikiart.org/images/jan-toorop/the-new-generation-1892.jpg,The New Generation
Carl Larsson,1897,http://www.wikiart.org/de/carl-larsson/lazy-nook-1897,https://uploads1.wikiart.org/images/carl-larsson/lazy-nook-1897(1).jpg,Lazy Nook
Carl Larsson,1895,http://www.wikiart.org/de/carl-larsson/breakfast-under-the-big-birch,https://uploads7.wikiart.org/images/carl-larsson/breakfast-under-the-big-birch(1).jpg,Breakfast under the Big Birch
Charles Rennie Mackintosh,1927,http://www.wikiart.org/de/charles-rennie-mackintosh/the-little-bay-port-vendres-1927,https://uploads2.wikiart.org/images/charles-rennie-mackintosh/the-little-bay-port-vendres-1927.jpg,"The Little Bay, Port Vendres "
Katsushika Hokusai,-1,http://www.wikiart.org/en/katsushika-hokusai/kajikazawa-in-kai-province,https://uploads7.wikiart.org/images/katsushika-hokusai/kajikazawa-in-kai-province.jpg,Kajikazawa in Kai Province
Paul Klee,1932,http://www.wikiart.org/en/paul-klee/to-the-parnassus-1932,https://uploads5.wikiart.org/images/paul-klee/to-the-parnassus-1932(2).jpg,Ad Parnassum
Vincent van Gogh,1890,http://www.wikiart.org/en/vincent-van-gogh/branches-with-almond-blossom-1890,https://uploads6.wikiart.org/images/vincent-van-gogh/branches-with-almond-blossom-1890(1).jpg,Branches with Almond Blossom
John William Waterhouse,1889,http://www.wikiart.org/en/john-william-waterhouse/ophelia-1889,https://uploads7.wikiart.org/images/john-william-waterhouse/ophelia-1889.jpg,Ophelia
Eugene Delacroix,1822,http://www.wikiart.org/en/eugene-delacroix/the-barque-of-dante-dante-and-virgil-in-the-underworld-1822-1,https://uploads3.wikiart.org/images/eugene-delacroix/dante-and-virgil-in-the-underworld-1822(1).jpg,The Barque of Dante (Dante and Virgil in the Underworld)
Paul Cezanne,1895,http://www.wikiart.org/en/paul-cezanne/still-life-with-bottle-and-apple-basket-1894,https://uploads1.wikiart.org/images/paul-cezanne/still-life-with-bottle-and-apple-basket-1894.jpg, Basket of Apples
Georges Seurat,1884,http://www.wikiart.org/en/georges-seurat/bathers-at-asni-res-1884,https://uploads1.wikiart.org/images/georges-seurat/bathers-at-asni-res-1884.jpg,Bathers at Asnières
Henry Ossawa Tanner,1894,http://www.wikiart.org/en/henry-ossawa-tanner/spinning-by-firelight-the-boyhood-of-george-washington-gray-1894,https://uploads1.wikiart.org/images/henry-ossawa-tanner/spinning-by-firelight-the-boyhood-of-george-washington-gray-1894.jpg,Spinning by Firelight - The Boyhood of George Washington Gray
Leonardo da Vinci,1472,http://www.wikiart.org/en/leonardo-da-vinci/annunciation,https://uploads1.wikiart.org/images/leonardo-da-vinci/annunciation.jpg,Annunciation
 Wassily Kandinsky,1911,http://www.wikiart.org/en/wassily-kandinsky/composition-iv-1911,https://uploads8.wikiart.org/images/wassily-kandinsky/composition-iv-1911.jpg,Composition IV
 Wassily Kandinsky,1917,http://www.wikiart.org/en/wassily-kandinsky/improvisation-209-1917,https://uploads5.wikiart.org/images/wassily-kandinsky/improvisation-209-1917(1).jpg,Improvisation 29
 Wassily Kandinsky,1923,http://www.wikiart.org/en/wassily-kandinsky/transverse-line-1923,https://uploads0.wikiart.org/images/wassily-kandinsky/transverse-line-1923.jpg,Transverse Line
 Wassily Kandinsky,1923,http://www.wikiart.org/en/wassily-kandinsky/composition-viii-1923,https://uploads1.wikiart.org/images/wassily-kandinsky/composition-viii-1923.jpg,Composition VIII
Claude Monet,-1,http://www.wikiart.org/en/claude-monet/house-of-parliament-sun,https://uploads7.wikiart.org/images/claude-monet/house-of-parliament-sun.jpg,House of Parliament Sun
Piet Mondrian,1910,http://www.wikiart.org/en/piet-mondrian/avond-evening-the-red-tree-1910,https://uploads7.wikiart.org/images/piet-mondrian/avond-evening-the-red-tree-1910.jpg,Avond (Evening): The Red Tree
Sydney Laurence,1928,http://www.wikiart.org/en/sydney-laurence/cape-st-elias-1928,https://uploads5.wikiart.org/images/sydney-laurence/cape-st-elias-1928.jpg,Cape St. Elias
Katsushika Hokusai,-1,http://www.wikiart.org/en/katsushika-hokusai/climbing-on-mt-fuji,https://uploads0.wikiart.org/images/katsushika-hokusai/climbing-on-mt-fuji.jpg,Climbing on Mt. Fuji
Ivan Aivazovsky,1850,http://www.wikiart.org/en/ivan-aivazovsky/the-ninth-wave-1850-1,https://uploads8.wikiart.org/images/ivan-aivazovsky/the-ninth-wave-1850-1.jpg,The Ninth Wave
Sir Lawrence Alma-Tadema,1893,http://www.wikiart.org/en/sir-lawrence-alma-tadema/unconscious-rivals-1893,https://uploads6.wikiart.org/images/alma-tadema-lawrence/unconscious-rivals-1893.jpg,Unconscious Rivals
Albert Bierstadt,-1,http://www.wikiart.org/en/albert-bierstadt/sunset-in-the-rockies,https://uploads0.wikiart.org/images/albert-bierstadt/sunset-in-the-rockies.jpg,Sunset in the Rockies
Patrick Henry Bruce,1930,http://www.wikiart.org/en/patrick-henry-bruce/painting-1930,https://uploads4.wikiart.org/images/patrick-henry-bruce/painting-1930.jpg,Painting
Gustave Caillebotte,1875,http://www.wikiart.org/en/gustave-caillebotte/the-parquet-planers-1875,https://uploads6.wikiart.org/images/gustave-caillebotte/the-parquet-planers-1875.jpg,The Parquet Planers
William Merritt Chase,1886,http://www.wikiart.org/en/william-merritt-chase/mrs-chase-in-prospect-park,https://uploads1.wikiart.org/images/william-merritt-chase/mrs-chase-in-prospect-park.jpg,Mrs. Chase in Prospect Park
Henri-Edmond Cross,1894,http://www.wikiart.org/en/henri-edmond-cross/the-evening-air-1894,https://uploads1.wikiart.org/images/henri-edmond-cross/the-evening-air-1894.jpg,The Evening Air
Patrick Henry Bruce,1924,http://www.wikiart.org/en/patrick-henry-bruce/still-life-1924,https://uploads6.wikiart.org/images/patrick-henry-bruce/still-life-1924.jpg,Still-life
Patrick Henry Bruce,1932,http://www.wikiart.org/en/patrick-henry-bruce/transverse-beams-1932,https://uploads3.wikiart.org/images/patrick-henry-bruce/transverse-beams-1932.jpg,Transverse Beams
Charles Demuth,1919,http://www.wikiart.org/en/charles-demuth/sail-in-two-movements-1919,https://uploads3.wikiart.org/images/charles-demuth/sail-in-two-movements-1919.jpg,Sail: In Two Movements
Henri-Edmond Cross,1891,http://www.wikiart.org/en/henri-edmond-cross/coast-near-antibes,https://uploads8.wikiart.org/images/henri-edmond-cross/coast-near-antibes.jpg,Coast Near Antibes
Henri-Edmond Cross,1893,http://www.wikiart.org/en/henri-edmond-cross/the-farm-evening,https://uploads6.wikiart.org/images/henri-edmond-cross/the-farm-evening.jpg,"The Farm, Evening"
Karl Edvard Diriks,1923,http://www.wikiart.org/en/karl-edvard-diriks/from-dr-baksundet-1923,https://uploads3.wikiart.org/images/karl-edvard-diriks/from-dr-baksundet-1923.jpg,From Drøbaksundet
Karl Edvard Diriks,-1,http://www.wikiart.org/en/karl-edvard-diriks/isl-sning,https://uploads8.wikiart.org/images/karl-edvard-diriks/isl-sning.jpg,Isløsning
Vincent van Gogh,1887,http://www.wikiart.org/en/vincent-van-gogh/the-factory-at-asnieres-1887,https://uploads7.wikiart.org/images/vincent-van-gogh/the-factory-at-asnieres-1887.jpg,The Factory at Asnieres
Vincent van Gogh,1888,http://www.wikiart.org/en/vincent-van-gogh/the-starry-night-1888-2,https://uploads2.wikiart.org/images/vincent-van-gogh/the-starry-night-1888-2.jpg,"The Starry Night Over the Rhone,"
Vincent van Gogh,1887,http://www.wikiart.org/en/vincent-van-gogh/still-life-with-two-sunflowers-1887-1,https://uploads7.wikiart.org/images/vincent-van-gogh/still-life-with-two-sunflowers-1887-1.jpg,Still Life with Two Sunflowers
Jan Siberechts,-1,http://www.wikiart.org/en/jan-siberechts/a-wooded-landscape-with-peasants-in-a-horse-drawn-cart-travelling-down-a-flooded-road,https://uploads8.wikiart.org/images/jan-siberechts/a-wooded-landscape-with-peasants-in-a-horse-drawn-cart-travelling-down-a-flooded-road.jpg,A Wooded Landscape with Peasants in a Horse-Drawn Cart Travelling Down a Flooded Road
Paul Cezanne,1879,http://www.wikiart.org/en/paul-cezanne/still-life-1879,https://uploads8.wikiart.org/images/paul-cezanne/still-life-1879.jpg,Still life
Paul Cezanne,1890,http://www.wikiart.org/en/paul-cezanne/forest,https://uploads8.wikiart.org/images/paul-cezanne/forest.jpg,Forest
Paul Cezanne,1900,http://www.wikiart.org/en/paul-cezanne/bibemus-quarry,https://uploads7.wikiart.org/images/paul-cezanne/bibemus-quarry.jpg,Bibemus Quarry
Paul Cezanne,1870,http://www.wikiart.org/en/paul-cezanne/factories-near-mont-de-cengle,https://uploads4.wikiart.org/images/paul-cezanne/factories-near-mont-de-cengle.jpg,Factories Near Mont de Cengle
Henri Rousseau,1879,http://www.wikiart.org/en/henri-rousseau/wagon-in-front-of-the-mill-1879,https://uploads8.wikiart.org/images/henri-rousseau/wagon-in-front-of-the-mill-1879.jpg,Wagon in Front of the Mill
Henri Rousseau,1896,http://www.wikiart.org/en/henri-rousseau/suburban-scene-1896,https://uploads5.wikiart.org/images/henri-rousseau/suburban-scene-1896.jpg,Suburban Scene
James Hamilton,-1,http://www.wikiart.org/en/james-hamilton/what-are-the-wild-waves-saying,https://uploads7.wikiart.org/images/james-hamilton/what-are-the-wild-waves-saying.jpg,What Are The Wild Waves Saying
Pierre-Auguste Renoir,1869,http://www.wikiart.org/en/pierre-auguste-renoir/la-grenouillere-1869-1,https://uploads6.wikiart.org/images/pierre-auguste-renoir/la-grenouillere-1869-1.jpg,La Grenouillere
Edgar Degas,1862,http://www.wikiart.org/en/edgar-degas/the-belleli-family-1862,https://uploads6.wikiart.org/images/edgar-degas/the-belleli-family-1862.jpg,The Belleli Family
Vladimir Makovsky,1881,http://www.wikiart.org/en/vladimir-makovsky/midday-sun-1881,https://uploads4.wikiart.org/images/vladimir-makovsky/midday-sun-1881.jpg,Midday Sun
Maxime Maufra,1910,http://www.wikiart.org/en/maxime-maufra/back-to-fishing-boats-in-belle-isle-en-mer-1910,https://uploads5.wikiart.org/images/maxime-maufra/back-to-fishing-boats-in-belle-isle-en-mer-1910.jpg,Back to Fishing boats in Belle-Isle-en-Mer
Willard Metcalf,1885,http://www.wikiart.org/en/willard-metcalf/old-woman-with-child-and-goose-1885,https://uploads4.wikiart.org/images/willard-metcalf/old-woman-with-child-and-goose-1885.jpg,Old Woman with Child and Goose
Willard Metcalf,1895,http://www.wikiart.org/en/willard-metcalf/gloucester-harbour-sun,https://uploads0.wikiart.org/images/willard-metcalf/gloucester-harbour-sun.jpg,Gloucester harbour Sun
Willard Metcalf,-1,http://www.wikiart.org/en/willard-metcalf/autum-glory,https://uploads7.wikiart.org/images/willard-metcalf/autum-glory.jpg,Autumn Glory
