artistContentId,artistName,completitionYear,contentId,image,title,details
235517,Edward Hopper,1940,235607,https://uploads7.wikiart.org/images/edward-hopper/not_detected_235607(1).jpg,Room in New York,https://wikiart.org/en/edward-hopper/not_detected_235607
231885,Lucian Freud,1944,232148,https://uploads7.wikiart.org/images/lucian-freud/the-painter-s-room-1944.jpg,The Painter's Room,https://wikiart.org/en/lucian-freud/the-painter-s-room-1944
191443,Gustav Klimt,1907,191621,https://uploads8.wikiart.org/images/gustav-klimt/water-snakes-ii.jpg,Water Snakes II,https://wikiart.org/en/gustav-klimt/water-snakes-ii
211667,Claude Monet,1900,212038,https://uploads2.wikiart.org/images/claude-monet/irises-in-monet-s-garden-03.jpg,Irises in Monet's Garden,https://wikiart.org/en/claude-monet/irises-in-monet-s-garden-03
234080,Robert Delaunay,1939,234099,https://uploads3.wikiart.org/images/robert-delaunay/rythm-1.jpg,Rythm,https://wikiart.org/en/robert-delaunay/rythm-1
211667,Claude Monet,1864,212269,https://uploads5.wikiart.org/images/claude-monet/road-in-a-forest-fontainebleau.jpg,Road in a Forest Fontainebleau,https://wikiart.org/en/claude-monet/road-in-a-forest-fontainebleau
222127,Katsushika Hokusai,1831,222194,https://uploads8.wikiart.org/images/katsushika-hokusai/fuji-mountains-in-clear-weather-1831.jpg,"Fuji, Mountains in clear Weather  (Red Fuji)",https://wikiart.org/en/katsushika-hokusai/fuji-mountains-in-clear-weather-1831
189164,Francois Boucher,1740,189234,https://uploads3.wikiart.org/images/francois-boucher/triumph-of-venus-1740(1).jpg,The Birth and Triumph of Venus,https://www.wikiart.org/en/francois-boucher/the-birth-and-triumph-of-venus-1740-1
185320,Edvard Munch,1907,185474,https://uploads3.wikiart.org/images/edvard-munch/the-sick-child-1886.jpg,The Sick Child (later),https://wikiart.org/en/edvard-munch/the-sick-child-1886
211667,Claude Monet,1892,212213,https://uploads2.wikiart.org/images/claude-monet/poplars-on-the-banks-of-the-river-epte-seen-from-the-marsh-1892.jpg,"Poplars on the Banks of the River Epte, Seen from the Marsh",https://wikiart.org/en/claude-monet/poplars-on-the-banks-of-the-river-epte-seen-from-the-marsh-1892
210477,Raphael,1513,210555,https://uploads3.wikiart.org/images/raphael/putti-detail-from-the-sistine-madonna-1513.jpg,"Putti, detail from The Sistine Madonna",https://wikiart.org/en/raphael/putti-detail-from-the-sistine-madonna-1513
204915,Vincent van Gogh,1888,206979,https://uploads7.wikiart.org/images/vincent-van-gogh/still-life-with-blue-enamel-coffeepot-earthenware-and-fruit-1888.jpg,"Still Life with Blue Enamel Coffeepot, Earthenware and Fruit",https://wikiart.org/en/vincent-van-gogh/still-life-with-blue-enamel-coffeepot-earthenware-and-fruit-1888
204422,M.C. Escher,1921,204764,https://uploads8.wikiart.org/images/m-c-escher/paradise.jpg,Paradise,https://wikiart.org/en/m-c-escher/paradise
213253,Edgar Degas,1885,213430,https://uploads3.wikiart.org/images/edgar-degas/dancers-in-pink-1885.jpg,Dancers in Pink,https://wikiart.org/en/edgar-degas/dancers-in-pink-1885
190436,Paul Gauguin,1888,190890,https://uploads2.wikiart.org/images/paul-gauguin/the-vision-after-the-sermon-jacob-wrestling-with-the-angel-1888.jpg,The Vision after the Sermon (Jacob wrestling with the Angel),https://wikiart.org/en/paul-gauguin/the-vision-after-the-sermon-jacob-wrestling-with-the-angel-1888
235517,Edward Hopper,1943,235646,https://uploads4.wikiart.org/images/edward-hopper/summertime.jpg,Summertime,https://wikiart.org/en/edward-hopper/summertime
234080,Robert Delaunay,-1,234085,https://uploads2.wikiart.org/images/robert-delaunay/color-explosion.jpg,Color Explosion,https://wikiart.org/en/robert-delaunay/color-explosion
190436,Paul Gauguin,1888,190515,https://uploads6.wikiart.org/images/paul-gauguin/breton-woman-and-goose-by-the-water-1888.jpg,Breton Woman and Goose by the Water,https://wikiart.org/en/paul-gauguin/breton-woman-and-goose-by-the-water-1888
211667,Claude Monet,1864,211904,https://uploads2.wikiart.org/images/claude-monet/farm-near-honfleur.jpg,Farm near Honfleur,https://wikiart.org/en/claude-monet/farm-near-honfleur
244678,Balthus,1945,244794,https://uploads4.wikiart.org/images/balthus/the-golden-years.jpg,The Golden Years,https://wikiart.org/en/balthus/the-golden-years
238672,William Turner,1831,238721,https://uploads7.wikiart.org/images/william-turner/fort-vimieux.jpg,Fort Vimieux,https://wikiart.org/en/william-turner/fort-vimieux
235517,Edward Hopper,1909,235645,https://uploads0.wikiart.org/images/edward-hopper/summer-interior.jpg,Summer Interior,https://wikiart.org/en/edward-hopper/summer-interior
222127,Katsushika Hokusai,1834,222161,https://uploads6.wikiart.org/images/katsushika-hokusai/canary-and-peony.jpg,Canary and Peony,https://wikiart.org/en/katsushika-hokusai/canary-and-peony
247591,Norman Rockwell,1944,247852,https://uploads4.wikiart.org/images/norman-rockwell/visits-a-ration-board-1944.jpg,Visits a Ration Board,https://wikiart.org/en/norman-rockwell/visits-a-ration-board-1944
204915,Vincent van Gogh,1862,207100,https://uploads6.wikiart.org/images/vincent-van-gogh/the-goat-herd-1862.jpg,The Goat Herd,https://wikiart.org/en/vincent-van-gogh/the-goat-herd-1862
193829,Francisco Goya,1814,193917,https://uploads4.wikiart.org/images/francisco-goya/execution-of-the-defenders-of-madrid-3rd-may-1808-1814.jpg,The Third of May 1808 (Execution of the Defenders of Madrid),https://www.wikiart.org/en/francisco-goya/the-third-of-may-1808-execution-of-the-defenders-of-madrid-1814-1
235517,Edward Hopper,1913,235618,https://uploads5.wikiart.org/images/edward-hopper/queensborough-bridge.jpg,Queensborough-Bridge,https://wikiart.org/en/edward-hopper/queensborough-bridge
211667,Claude Monet,1886,212664,https://uploads6.wikiart.org/images/claude-monet/the-rocks-of-belle-lle.jpg,The rocks of Belle-Ile,https://wikiart.org/en/claude-monet/the-rocks-of-belle-lle
231885,Lucian Freud,1980,232063,https://uploads0.wikiart.org/images/lucian-freud/naked-man-with-his-friend.jpg,Naked Man with his Friend,https://wikiart.org/en/lucian-freud/naked-man-with-his-friend
211667,Claude Monet,1899,212949,https://uploads7.wikiart.org/images/claude-monet/water-lilies-evening-effect-1899.jpg,"Water Lilies, Evening Effect",https://wikiart.org/en/claude-monet/water-lilies-evening-effect-1899
192971,Mikalojus Konstantinas Ciurlionis,1909,194266,https://uploads3.wikiart.org/images/mikalojus-ciurlionis/castle-castle-fairy-tale-1909.jpg,Castle (Castle Fairy Tale),https://wikiart.org/en/mikalojus-ciurlionis/castle-castle-fairy-tale-1909
235517,Edward Hopper,1962,235589,https://uploads0.wikiart.org/images/edward-hopper/new-york-office.jpg,New York Office,https://wikiart.org/en/edward-hopper/new-york-office
184883,Friedensreich Hundertwasser,1994,192618,https://uploads8.wikiart.org/images/friedensreich-hundertwasser/city-view.jpg,992 City View,https://wikiart.org/en/friedensreich-hundertwasser/city-view
186729,Pieter Bruegel the Elder,1560,186738,https://uploads8.wikiart.org/images/pieter-bruegel-the-elder/children-s-games-1560.jpg,Children's Games,https://wikiart.org/en/pieter-bruegel-the-elder/children-s-games-1560
225091,Leonardo da Vinci,1482,225127,https://uploads3.wikiart.org/images/leonardo-da-vinci/design-for-a-giant-crossbow-1482.jpg,Design for a Giant Crossbow,https://wikiart.org/en/leonardo-da-vinci/design-for-a-giant-crossbow-1482
191443,Gustav Klimt,1905,191611,https://uploads3.wikiart.org/images/gustav-klimt/the-three-ages-of-woman-1905.jpg,The Three Ages of Woman,https://wikiart.org/en/gustav-klimt/the-three-ages-of-woman-1905
231885,Lucian Freud,1968,232058,https://uploads0.wikiart.org/images/lucian-freud/naked-girl-asleep-ii-1968.jpg,Naked Girl Asleep II,https://wikiart.org/en/lucian-freud/naked-girl-asleep-ii-1968
192701,Giotto,1306,192752,https://uploads3.wikiart.org/images/giotto/lamentation-the-mourning-of-christ.jpg,Lamentation (The Mourning of Christ),https://www.wikiart.org/en/giotto/lamentation-the-mourning-of-christ-1306-1
277874,Emil Nolde,1911,277899,https://uploads6.wikiart.org/images/emil-nolde/mask-still-life-iii-1911.jpg,Mask Still Life III,https://wikiart.org/en/emil-nolde/mask-still-life-iii-1911
244678,Balthus,1937,244808,https://uploads8.wikiart.org/images/balthus/the-white-skirt-1937.jpg,The white skirt,https://wikiart.org/en/balthus/the-white-skirt-1937
235517,Edward Hopper,1936,235657,https://uploads3.wikiart.org/images/edward-hopper/the-circle-theatre.jpg,The Circle Theatre,https://wikiart.org/en/edward-hopper/the-circle-theatre
